"Seq ID","Seq Description","GO ID","HUBGENE"
"ppt_148473","A9NK16tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_148474","A9NQM1tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_148480","A9NQM1tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_148481","A9NQM1tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_148671","Q9SKW5sp=Ethylene-responsive transcription factor ERF055 Arabidopsis thaliana (Mouse-ear cress)","GO:0009651, GO:0009873, GO:0045893, GO:1900036, GO:2000070, GO:0003700, GO:0005515, GO:0043565, GO:0005634, GO:0005737, GO:0016021","NO-H"
"ppt_148969","A4F4L3tr=MYBPA1 protein  Vitis vinifera (Grape)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_148970","A0A167V936tr=Transcription factor MYB35  Picea abies (Norway spruce) (Picea excelsa)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_149181","I3QC21tr=Teosinte branched 1  Zea diploperennis (Diploperennial teosinte)","GO:2000032, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_149182","I3QC21tr=Teosinte branched 1  Zea diploperennis (Diploperennial teosinte)","GO:2000032, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_149184","I3QC21tr=Teosinte branched 1  Zea diploperennis (Diploperennial teosinte)","GO:2000032, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_149186","I3QC21tr=Teosinte branched 1  Zea diploperennis (Diploperennial teosinte)","GO:2000032, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_149187","B3STZ3tr=Teosinte-branched1  Pennisetum americanum (Pearl millet) (Pennisetum glaucum)","GO:2000032, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_149188","B3STZ3tr=Teosinte-branched1  Pennisetum americanum (Pearl millet) (Pennisetum glaucum)","GO:2000032, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_149189","B3STZ3tr=Teosinte-branched1  Pennisetum americanum (Pearl millet) (Pennisetum glaucum)","GO:2000032, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_149190","B3STZ3tr=Teosinte-branched1  Pennisetum americanum (Pearl millet) (Pennisetum glaucum)","GO:2000032, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_149191","B3STZ3tr=Teosinte-branched1  Pennisetum americanum (Pearl millet) (Pennisetum glaucum)","GO:0006355, GO:0007275, GO:0048831, GO:2000032, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_150437","B8LPP6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_150439","B8LPP6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_150440","B8LPP6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_150441","B8LPP6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152081","A0A1D1XPF5tr=Alanine--tRNA ligase  Anthurium amnicola","GO:0006355, GO:0080142, GO:0003700, GO:0005516, GO:0016874, GO:0043565, GO:0005634","NO-H"
"ppt_152082","A0A1D1XPF5tr=Alanine--tRNA ligase  Anthurium amnicola","GO:0080142, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_152083","A0A199W5J5tr=Calmodulin-binding protein 60 C  Ananas comosus (Pineapple) (Ananas ananas)","GO:0006355, GO:0080142, GO:0003700, GO:0005516, GO:0043565, GO:0005634","NO-H"
"ppt_152194","Q9ZVP8sp=NAC domain-containing protein 35  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0048584, GO:0080134, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152196","Q9ZVP8sp=NAC domain-containing protein 35  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152796","Q9LW49sp=Ethylene-responsive transcription factor 4 Nicotiana sylvestris (Wood tobacco) (South American tobacco)","GO:0006355, GO:0006952, GO:0009873, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152797","Q9LW49sp=Ethylene-responsive transcription factor 4 Nicotiana sylvestris (Wood tobacco) (South American tobacco)","GO:0006355, GO:0006952, GO:0009873, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152799","Q9LW49sp=Ethylene-responsive transcription factor 4 Nicotiana sylvestris (Wood tobacco) (South American tobacco)","GO:0006355, GO:0006952, GO:0009873, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152800","Q9LW49sp=Ethylene-responsive transcription factor 4 Nicotiana sylvestris (Wood tobacco) (South American tobacco)","GO:0006355, GO:0006952, GO:0009873, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152860","A0A118JY74tr=AP2/ERF domain-containing protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152861","A0A118JY74tr=AP2/ERF domain-containing protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152862","A0A118JY74tr=AP2/ERF domain-containing protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152864","A0A118JY74tr=AP2/ERF domain-containing protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152866","A0A118JY74tr=AP2/ERF domain-containing protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152868","A0A118JY74tr=AP2/ERF domain-containing protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006355, GO:0006633, GO:0055114, GO:0003677, GO:0003700, GO:0004318, GO:0005634","NO-H"
"ppt_152872","A0A118JY74tr=AP2/ERF domain-containing protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152876","A0A118JY74tr=AP2/ERF domain-containing protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006355, GO:0006633, GO:0055114, GO:0003677, GO:0003700, GO:0004318, GO:0005634","NO-H"
"ppt_152877","A0A0A0LTJ1tr=DNA-binding protein RAV1  Cucumis sativus (Cucumber)","GO:0006355, GO:0006633, GO:0055114, GO:0003677, GO:0003700, GO:0004318, GO:0005634","NO-H"
"ppt_152935","S6CRV4tr=HD transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0007275, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_152936","S6CRV4tr=HD transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0007275, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_153700","Q58A81tr=MADS-box transcription factor GbMADS2  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0045944, GO:0000977, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_153701","A0A0F7IKG4tr=MADS-box transcription factor  Cycas taitungensis (Prince sago) (Cycas taiwaniana)","GO:0006355, GO:0045944, GO:0000977, GO:0003677, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_154032","Q9M2S3sp=AT-hook motif nuclear-localized protein 15  Arabidopsis thaliana (Mouse-ear cress)","GO:0009938, GO:0045824, GO:0003700, GO:0043621, GO:0005634","NO-H"
"ppt_154033","Q9M2S3sp=AT-hook motif nuclear-localized protein 15  Arabidopsis thaliana (Mouse-ear cress)","GO:0009938, GO:0045824, GO:0003700, GO:0043621, GO:0005634","NO-H"
"ppt_154034","Q9M2S3sp=AT-hook motif nuclear-localized protein 15  Arabidopsis thaliana (Mouse-ear cress)","GO:0009938, GO:0045824, GO:0003700, GO:0043621, GO:0005634","NO-H"
"ppt_154362","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0006355, GO:0010119, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_154452","EnsemblPlants:GLYMA06G20660.1} Glycine max (Soybean) (Glycine hispida)","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_154595","Q84T61sp=Heat stress transcription factor A-1 Oryza sativa subsp. japonica (Rice)","GO:0061408, GO:0000978, GO:0003700, GO:0005634, GO:0005737, GO:0042025","NO-H"
"ppt_154596","Q84T61sp=Heat stress transcription factor A-1 Oryza sativa subsp. japonica (Rice)","GO:0061408, GO:0000978, GO:0003700, GO:0005634, GO:0005737, GO:0042025","NO-H"
"ppt_154597","O81821sp=Heat stress transcription factor A-1b Arabidopsis thaliana (Mouse-ear cress)","GO:0009408, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_154598","O81821sp=Heat stress transcription factor A-1b Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009408, GO:0033554, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_154672","Q3E703sp=Ethylene-responsive transcription factor ERF088 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009873, GO:0010102, GO:0010432, GO:0010451, GO:0010582, GO:1901332, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_154673","Q9M644sp=Ethylene-responsive transcription factor LEP Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009740, GO:0009873, GO:0010030, GO:0003677, GO:0003700, GO:0016787, GO:0005634","NO-H"
"ppt_154674","Q3E703sp=Ethylene-responsive transcription factor ERF088 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009873, GO:0010102, GO:0010432, GO:0010451, GO:0010582, GO:1901332, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_154707","Q9C616sp=Probable transcription factor KAN2 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009944, GO:0030154, GO:0048481, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_155098","O23463sp=Calmodulin-binding transcription activator 5 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0070417, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_155099","O23463sp=Calmodulin-binding transcription activator 5 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0070417, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_155245","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_155246","B8LN81tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_155247","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_155248","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_155249","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_155250","B8LN81tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_155251","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_155252","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_155366","Q9M2Y9sp=Transcription factor RAX3 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0007275, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_155489","A0A061G1D2tr=Basic helix-loop-helix DNA-binding superfamily protein, putative  Theobroma cacao (Cacao) (Cocoa)","GO:0006357, GO:0000977, GO:0003700, GO:0008134, GO:0046983, GO:0090575","NO-H"
"ppt_155490","B9R9K5tr=DNA binding protein, putative  Ricinus communis (Castor bean)","GO:0006357, GO:0000977, GO:0003700, GO:0008134, GO:0046983, GO:0090575","NO-H"
"ppt_155491","A0A061G1D2tr=Basic helix-loop-helix DNA-binding superfamily protein, putative  Theobroma cacao (Cacao) (Cocoa)","GO:0006357, GO:0000977, GO:0003700, GO:0008134, GO:0046983, GO:0090575","NO-H"
"ppt_156265","A0A0C9RMD2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11092_3323 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_156266","A0A118K370tr=DNA-binding WRKY  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_156267","A0A0C9RMD2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11092_3323 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_156268","A0A0C9RMD2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11092_3323 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_156269","A0A0C9RMD2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11092_3323 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_156270","A0A0C9RMD2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11092_3323 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_156271","A0A0C9RMD2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11092_3323 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_156272","A0A0M4FL68tr=WRKY2 transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_156273","A0A0C9RMD2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11092_3323 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_156274","A0A0D6QV38tr=Uncharacterized protein  Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_156275","A0A0C9RMD2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11092_3323 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_156276","A0A0C9RMD2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11092_3323 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_157189","O80337sp=Ethylene-responsive transcription factor 1A Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0006952, GO:0009624, GO:0009873, GO:0010087, GO:0010200, GO:0051301, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157617","A0A0C9S8B1tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5174_2289 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157619","A0A0C9S8B1tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5174_2289 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157620","A0A0C9S8B1tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5174_2289 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157621","A0A0C9S8B1tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5174_2289 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157622","Q9FV33tr=APETALA2-related transcription factor 2  Picea abies (Norway spruce) (Picea excelsa)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157623","Q9FV33tr=APETALA2-related transcription factor 2  Picea abies (Norway spruce) (Picea excelsa)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157624","Q9FV33tr=APETALA2-related transcription factor 2  Picea abies (Norway spruce) (Picea excelsa)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157625","A0A0C9S8B1tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5174_2289 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157626","A0A0C9S8B1tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5174_2289 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157627","Q9FV33tr=APETALA2-related transcription factor 2  Picea abies (Norway spruce) (Picea excelsa)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157628","Q9FV33tr=APETALA2-related transcription factor 2  Picea abies (Norway spruce) (Picea excelsa)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157629","Q9FV33tr=APETALA2-related transcription factor 2  Picea abies (Norway spruce) (Picea excelsa)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_157630","A0A0C9S8B1tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5174_2289 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_158255","A0A0C9S8B3tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11777_3031 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700","NO-H"
"ppt_158256","A0A0C9S8B3tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11777_3031 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700","NO-H"
"ppt_158257","A0A0C9S8B3tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11777_3031 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700","NO-H"
"ppt_158258","A0A0C9S8B3tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11777_3031 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700","NO-H"
"ppt_158259","A0A0C9S8B3tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11777_3031 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700","NO-H"
"ppt_158260","A0A0C9S8B3tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11777_3031 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700","NO-H"
"ppt_158261","A0A0C9S8B3tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11777_3031 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700","NO-H"
"ppt_158262","A0A0C9S8B3tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11777_3031 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700","NO-H"
"ppt_158869","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_158870","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_158871","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_158872","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_158873","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_158874","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_159543","O82166sp=AT-hook motif nuclear-localized protein 21  Arabidopsis thaliana (Mouse-ear cress)","GO:0010228, GO:0045892, GO:0048440, GO:0048653, GO:0003680, GO:0003700, GO:0005654, GO:0016020","NO-H"
"ppt_160409","O80831sp=Beta-amylase 7 Arabidopsis thaliana (Mouse-ear cress)","GO:0000272, GO:0006355, GO:0048831, GO:0003700, GO:0005515, GO:0016161, GO:0102229, GO:0005634, GO:0005737","NO-H"
"ppt_160410","O80831sp=Beta-amylase 7 Arabidopsis thaliana (Mouse-ear cress)","GO:0000272, GO:0006355, GO:0048831, GO:0003700, GO:0005515, GO:0016161, GO:0102229, GO:0005634, GO:0005737","NO-H"
"ppt_161416","A9S234tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0000978, GO:0003700, GO:0005634, GO:0016602","NO-H"
"ppt_161417","A9S234tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0000978, GO:0003700, GO:0005634, GO:0016602","NO-H"
"ppt_161418","A9S234tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0000978, GO:0003700, GO:0005634, GO:0016602","NO-H"
"ppt_161419","A9S234tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0000978, GO:0003700, GO:0005634, GO:0016602","NO-H"
"ppt_161420","A9S234tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0000978, GO:0003700, GO:0005634, GO:0016602","NO-H"
"ppt_161421","A9S234tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0000978, GO:0003700, GO:0005634, GO:0016602","NO-H"
"ppt_161422","A9S234tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0000978, GO:0003700, GO:0005634, GO:0016602","NO-H"
"ppt_161423","A9S234tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0000978, GO:0003700, GO:0005634, GO:0016602","NO-H"
"ppt_161424","A0A023R5Z3tr=NFYA1  Larix kaempferi","GO:0006355, GO:0003677, GO:0003700, GO:0016602","NO-H"
"ppt_161425","A0A023R5Z3tr=NFYA1  Larix kaempferi","GO:0006355, GO:0003677, GO:0003700, GO:0016602","NO-H"
"ppt_162011","O82199sp=Zinc finger CCCH domain-containing protein 20 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0006979, GO:0003677, GO:0003700, GO:0046872, GO:0005886","NO-H"
"ppt_162015","Q9LE73sp=Nudix hydrolase 4 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0003677, GO:0003700, GO:0016787, GO:0005634, GO:0005737","NO-H"
"ppt_162017","Q9LE73sp=Nudix hydrolase 4 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0003677, GO:0003700, GO:0016787, GO:0005634, GO:0005737","NO-H"
"ppt_162018","Q9LE73sp=Nudix hydrolase 4 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0003677, GO:0003700, GO:0016787, GO:0005634, GO:0005737","NO-H"
"ppt_162019","Q9LE73sp=Nudix hydrolase 4 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0003677, GO:0003700, GO:0016787, GO:0005634, GO:0005737","NO-H"
"ppt_162081","Q9M2K4sp=Basic leucine zipper 61  Arabidopsis thaliana (Mouse-ear cress)","GO:0045893, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_162082","Q5QNI5sp=Basic leucine zipper 2 Oryza sativa subsp. japonica (Rice)","GO:0009555, GO:0045893, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_162083","Q9M2K4sp=Basic leucine zipper 61  Arabidopsis thaliana (Mouse-ear cress)","GO:0045893, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_162084","A9SM78tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0009555, GO:0045893, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_162085","A9SM78tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0009555, GO:0045893, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_162880","M0TSL5tr=Uncharacterized protein  Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis)","GO:0006357, GO:0000977, GO:0003677, GO:0003700, GO:0008134, GO:0046983, GO:0090575","NO-H"
"ppt_163197","Q9FYK5sp=Ethylene-responsive transcription factor ESR2 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009733, GO:0009736, GO:0009740, GO:0009873, GO:0009880, GO:0048825, GO:0051726, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_163199","Q6J9Q2sp=Ethylene-responsive transcription factor ERF086 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010102, GO:0010432, GO:0010451, GO:0010582, GO:1901332, GO:0003677, GO:0003700, GO:0016787, GO:0005634","NO-H"
"ppt_163321","M8A6B0tr=Protein Dr1-like protein  Triticum urartu (Red wild einkorn) (Crithodium urartu)","GO:0006355, GO:0003677, GO:0003700, GO:0046982, GO:0005634","NO-H"
"ppt_163322","M8A6B0tr=Protein Dr1-like protein  Triticum urartu (Red wild einkorn) (Crithodium urartu)","GO:0006355, GO:0003677, GO:0003700, GO:0046982, GO:0005634","NO-H"
"ppt_163478","EnsemblPlants:BRADI1G38180.1} Brachypodium distachyon (Purple false brome) (Trachynia distachya)","GO:0006351, GO:0006355, GO:0009742, GO:0003700","NO-H"
"ppt_163768","Q2QXH7tr=Os12g0156200 protein  Oryza sativa subsp. japonica (Rice)","GO:0006355, GO:0090502, GO:0003676, GO:0003700, GO:0004523","NO-H"
"ppt_163770","Q2QXH7tr=Os12g0156200 protein  Oryza sativa subsp. japonica (Rice)","GO:0006355, GO:0090502, GO:0003676, GO:0003700, GO:0004523","NO-H"
